timestamp,bono_normal,bono_cpu/limit,bono_cpu/request,bono_cpu/usage,bono_cpu/usage_rate,bono_filesystem/limit,bono_filesystem/usage,bono_memory/cache,bono_memory/limit,bono_memory/major_page_faults,bono_memory/major_page_faults_rate,bono_memory/page_faults,bono_memory/page_faults_rate,bono_memory/request,bono_memory/rss,bono_memory/usage,bono_memory/working_set,bono_uptime,bono_normal,homestead_normal,homestead_cpu/limit,homestead_cpu/request,homestead_cpu/usage,homestead_cpu/usage_rate,homestead_filesystem/limit,homestead_filesystem/usage,homestead_memory/cache,homestead_memory/limit,homestead_memory/major_page_faults,homestead_memory/major_page_faults_rate,homestead_memory/page_faults,homestead_memory/page_faults_rate,homestead_memory/request,homestead_memory/rss,homestead_memory/usage,homestead_memory/working_set,homestead_uptime,homestead_normal,sprout_normal,sprout_cpu/limit,sprout_cpu/request,sprout_cpu/usage,sprout_cpu/usage_rate,sprout_filesystem/limit,sprout_filesystem/usage,sprout_memory/cache,sprout_memory/limit,sprout_memory/major_page_faults,sprout_memory/major_page_faults_rate,sprout_memory/page_faults,sprout_memory/page_faults_rate,sprout_memory/request,sprout_memory/rss,sprout_memory/usage,sprout_memory/working_set,sprout_uptime,sprout_normal,bono_cpu,bono_mem,bono_io,homestead_cpu,homestead_mem,homestead_io,sprout_cpu,sprout_mem,sprout_io,normal
1529575880,1,0,0,261304438273,2,79680208896,1409024,4743168,0,0,0,14404474,118.166748046875,0,84115456,88858624,88813568,80315445,1,0,0,0,2048251226868,254,79680208896,286720,699654144,0,0,0,10130294,178.11204528808594,0,133984256,833732608,833679360,80230446,0,1,0,0,7007716369368,755,79680208896,253952,73568256,0,0,0,23801818,306.1962585449219,0,1175060480,1248755712,1248714752,80310229,1,0,0,0,0,0,1,0,0,0,0
1529575900,1,0,0,261336288641,3,79680208896,1409024,4743168,0,0,0,14406302,177.70509338378906,0,84115456,88981504,88936448,80335513,1,0,0,0,2053147437546,246,79680208896,286720,701136896,0,0,0,10132754,123.70175170898438,0,134586368,835801088,835747840,80250442,0,1,0,0,7019517312991,756,79680208896,253952,73723904,0,0,0,23807017,333.4078674316406,0,1175060480,1248858112,1248817152,80330162,1,0,0,0,0,0,1,0,0,0,0
1529575920,1,0,0,261397408948,3,79680208896,1409024,4743168,0,0,0,14409959,183.88345336914062,0,84115456,88858624,88813568,80355420,1,0,0,0,2062119692323,251,79680208896,286720,703795200,0,0,0,10136089,93.54254913330078,0,135671808,839569408,839516160,80270462,0,1,0,0,7042130537288,759,79680208896,253952,74010624,0,0,0,23816298,311.56158447265625,0,1175060480,1249071104,1249030144,80350180,1,0,0,0,0,0,1,0,0,0,0
1529575940,1,0,0,261459970865,3,79680208896,1409024,4743168,0,0,0,14413629,185.56927490234366,0,84115456,88944640,88899584,80375515,1,1,0,0,2066590885651,245,79680208896,286720,705138688,0,0,0,10138487,131.92918395996094,0,136036352,841293824,841240576,80290375,1,1,0,0,7055068783870,766,79680208896,253952,74178560,0,0,0,23821553,311.4924011230469,0,1175060480,1249239040,1249198080,80370194,1,0,0,0,0,0,0,0,0,0,1
1529575960,1,0,0,261567420820,3,79680208896,1409024,4743168,0,0,0,14420015,188.19728088378903,0,84115456,88858624,88813568,80395508,1,1,0,0,2069146161582,183,79680208896,286720,706121728,0,0,0,10139585,78.91647338867188,0,136302592,842506240,842452992,80310384,1,0,0,0,7066196776827,712,79680208896,253952,74334208,0,0,0,23826621,324.6781311035156,0,1175060480,1249460224,1249419264,80390194,0,0,0,0,0,0,0,0,1,0,0
1529575980,1,0,0,261611556058,3,79680208896,1409024,4743168,0,0,0,14422743,205.9829864501953,0,84115456,88965120,88920064,80415418,1,1,0,0,2074246204829,186,79680208896,286720,708210688,0,0,0,10142722,114.68247985839844,0,136908800,845189120,845135872,80330358,1,0,0,0,7088338975672,738,79680208896,253952,74616832,0,0,0,23836671,335.2239074707031,0,1175060480,1249767424,1249726464,80410155,0,0,0,0,0,0,0,0,1,0,0
1529576000,1,0,0,261671947099,3,79680208896,1409024,4743168,0,0,0,14426119,191.12132263183602,0,84135936,88879104,88834048,80435478,1,1,0,0,2077211565458,185,79680208896,286720,709398528,0,0,0,10145383,166.80592346191406,0,137400320,846843904,846790656,80350393,1,0,0,0,7097128154119,707,79680208896,253952,74743808,0,0,0,23840130,278.45309448242193,0,1175060480,1249873920,1249832960,80430158,0,0,0,0,0,0,0,0,1,0,0
1529576020,1,0,0,261765504164,3,79680208896,1409024,4743168,0,0,0,14431628,187.39134216308602,0,84135936,88879104,88834048,80455533,1,1,0,0,2080057268765,180,79680208896,286720,710574080,0,0,0,10146516,72.05545806884766,0,137723904,848424960,848371712,80370376,1,0,0,0,7107907438931,702,79680208896,253952,74899456,0,0,0,23845472,348.242919921875,0,1175060480,1250086912,1250045952,80450267,0,0,0,0,0,0,0,0,1,0,0
1529576040,1,0,0,261797133420,3,79680208896,1409024,4743168,0,0,0,14433183,149.54591369628906,0,84135936,88969216,88924160,80475470,1,1,0,0,2083674531374,189,79680208896,286720,711999488,0,0,0,10149139,137.47758483886722,0,138006528,850108416,850055168,80390430,1,0,0,0,7119824114699,708,79680208896,253952,75067392,0,0,0,23850562,302.7062683105469,0,1165885440,1241079808,1241038848,80470306,0,0,0,0,0,0,0,0,1,0,0
1529576060,1,0,0,261859882669,3,79680208896,1409024,4743168,0,0,0,14436843,184.76405334472656,0,84135936,88879104,88834048,80495428,1,1,0,0,2087244639847,181,79680208896,286720,713465856,0,0,0,10151835,136.99383544921878,0,138592256,852144128,852090880,80410436,1,1,0,0,7142855586097,725,79680208896,253952,75378688,0,0,0,23861765,352.9153137207031,0,1165885440,1241264128,1241223168,80490260,1,0,0,0,0,0,0,0,0,0,1
1529576080,1,0,0,261901336547,2,79680208896,1409024,4747264,0,0,0,14438705,107.60647583007812,0,84135936,88969216,88920064,80515513,1,0,0,0,2093685792113,222,79680208896,286720,715612160,0,0,0,10155462,125.31888580322266,0,139747328,855392256,855339008,80430548,0,1,0,0,7156232699671,750,79680208896,253952,75558912,0,0,0,23867282,309.4604797363281,0,1165885440,1241444352,1241403392,80510229,1,0,0,0,0,0,1,0,0,0,0
1529576100,1,0,0,261990792518,3,79680208896,1409024,4747264,0,0,0,14443903,189.84532165527344,0,84135936,88969216,88924160,80535414,1,0,0,0,2098303907725,248,79680208896,286720,716996608,0,0,0,10158179,146.47683715820312,0,140333056,857366528,857313280,80450445,0,1,0,0,7165665976426,793,79680208896,253952,75673600,0,0,0,23870817,297.193115234375,0,1166036992,1241710592,1241669632,80530241,1,0,0,0,0,0,1,0,0,0,0
1529576120,1,0,0,262052015078,3,79680208896,1413120,4747264,0,0,0,14447580,203.4765472412109,0,84135936,88883200,88838144,80555516,1,0,0,0,2101264859887,240,79680208896,286720,717897728,0,0,0,10159028,69.01007843017578,0,140783616,858800128,858742784,80470392,0,1,0,0,7180364279648,765,79680208896,253952,75862016,0,0,0,23876804,311.7763366699219,0,1165885440,1241870336,1241829376,80550247,1,0,0,0,0,0,1,0,0,0,0
