timestamp,homestead_cpu/limit,homestead_cpu/request,homestead_cpu/usage,homestead_cpu/usage_rate,homestead_filesystem/limit,homestead_filesystem/usage,homestead_memory/cache,homestead_memory/limit,homestead_memory/major_page_faults,homestead_memory/major_page_faults_rate,homestead_memory/page_faults,homestead_memory/page_faults_rate,homestead_memory/request,homestead_memory/rss,homestead_memory/usage,homestead_memory/working_set,homestead_uptime,sprout_cpu/limit,sprout_cpu/request,sprout_cpu/usage,sprout_cpu/usage_rate,sprout_filesystem/limit,sprout_filesystem/usage,sprout_memory/cache,sprout_memory/limit,sprout_memory/major_page_faults,sprout_memory/major_page_faults_rate,sprout_memory/page_faults,sprout_memory/page_faults_rate,sprout_memory/request,sprout_memory/rss,sprout_memory/usage,sprout_memory/working_set,sprout_uptime,bono_cpu/limit,bono_cpu/request,bono_cpu/usage,bono_cpu/usage_rate,bono_filesystem/limit,bono_filesystem/usage,bono_memory/cache,bono_memory/limit,bono_memory/major_page_faults,bono_memory/major_page_faults_rate,bono_memory/page_faults,bono_memory/page_faults_rate,bono_memory/request,bono_memory/rss,bono_memory/usage,bono_memory/working_set,bono_uptime
1529507600,0,0,625023563473,97,79680208896,282624,229429248,0,0,0,1593802,97.279541015625,0,65261568,294748160,294690816,11950340,0,0,2308327139729,349,79680208896,253952,30834688,0,0,0,3942452,243.3445587158203,0,1152106496,1183064064,1183023104,12030237,0,0,39412218333,2,79680208896,438272,2916352,0,0,0,2198958,129.49299621582028,0,83980288,86986752,86941696,12035519
1529507620,0,0,626266105760,96,79680208896,282624,229908480,0,0,0,1595767,153.05126953125,0,65433600,295407616,295350272,11970276,0,0,2315051554768,352,79680208896,253952,30924800,0,0,0,3948003,291.3902282714844,0,1152106496,1183150080,1183109120,12050239,0,0,39467562501,3,79680208896,438272,2916352,0,0,0,2202608,225.99578857421875,0,83980288,86896640,86851584,12055542
1529507640,0,0,629480421255,97,79680208896,282624,231141376,0,0,0,1600122,132.39845275878906,0,66068480,297222144,297164800,11990386,0,0,2321239439421,381,79680208896,253952,31010816,0,0,0,3953314,327.6896057128906,0,1152106496,1183244288,1183203328,12070285,0,0,39528601582,3,79680208896,438272,2916352,0,0,0,2206258,201.12696838378903,0,83980288,86896640,86851584,12075548
1529507660,0,0,630970212969,102,79680208896,282624,231690240,0,0,0,1601443,90.46671295166016,0,66199552,297938944,297881600,12010456,0,0,2331916523379,356,79680208896,253952,31158272,0,0,0,3962940,321.13690185546875,0,1152106496,1183264768,1183223808,12090343,0,0,39597564592,2,79680208896,438272,2916352,0,0,0,2209955,142.30316162109375,0,83980288,86982656,86937600,12095510
1529507680,0,0,633875723015,96,79680208896,282624,232812544,0,0,0,1605114,122.03916931152344,0,66650112,299520000,299462656,12030374,0,0,2338698073011,362,79680208896,253952,31248384,0,0,0,3968330,288.48382568359375,0,1152106496,1183481856,1183440896,12110277,0,0,39677505996,3,79680208896,438272,2916352,0,0,0,2215421,249.6750946044922,0,83980288,86896640,86851584,12115541
1529507700,0,0,635420842487,93,79680208896,282624,233435136,0,0,0,1607470,142.3388214111328,0,67010560,300556288,300498944,12050403,0,0,2345607575657,352,79680208896,253952,31350784,0,0,0,3974754,327.8491516113281,0,1152106496,1183457280,1183412224,12130379,0,0,39716874752,2,79680208896,438272,2916352,0,0,0,2217276,114.51210021972656,0,83980288,86896640,86851584,12135536
1529507720,0,0,637387657123,100,79680208896,282624,234168320,0,0,0,1609849,120.95780181884766,0,67403776,301608960,301551616,12070374,0,0,2350599174123,358,79680208896,253952,31416320,0,0,0,3978355,258.5511474609375,0,1152106496,1183645696,1183604736,12150255,0,0,39769762409,3,79680208896,438272,2920448,0,0,0,2220656,235.71812438964844,0,83980288,86900736,86855680,12155551
1529507740,0,0,639276480543,95,79680208896,282624,234909696,0,0,0,1612463,132.09829711914062,0,67641344,302649344,302592000,12090335,0,0,2354914787481,348,79680208896,253952,31477760,0,0,0,3981301,237.8269500732422,0,1152106496,1183584256,1183543296,12170234,0,0,39812646227,2,79680208896,438272,2920448,0,0,0,2222240,84.43577575683594,0,83980288,87027712,86982656,12175528
1529507760,0,0,640709263781,96,79680208896,282624,235462656,0,0,0,1613256,53.56098175048828,0,67846144,303316992,303259648,12110299,0,0,2361375000773,350,79680208896,253952,31571968,0,0,0,3987548,338.68426513671875,0,1152106496,1183678464,1183637504,12190268,0,0,39873658095,3,79680208896,438272,2920448,0,0,0,2225890,198.84767150878903,0,83980288,86900736,86855680,12195503
1529507780,0,0,642027229186,94,79680208896,282624,235986944,0,0,0,1615562,165.59176635742188,0,68005888,304013312,303955968,12130316,0,0,2373982794061,351,79680208896,253952,31752192,0,0,0,3997735,284.0294189453125,0,1152106496,1183981568,1183940608,12210255,0,0,39956379279,3,79680208896,442368,2920448,0,0,0,2231376,237.13023376464844,0,83980288,86900736,86855680,12215441
